# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x080145A8	0x080145BB	thumb	sub_080145A8
0x080145BC	0x080145F3	thumb	sub_080145BC
0x080145F4	0x0801463F	thumb	sub_080145F4
0x08014640	0x0801468B	thumb	sub_08014640
0x0801468C	0x08014797	thumb	sub_0801468C
0x08014798	0x0801480B	thumb	sub_08014798
0x0801480C	0x080148D3	thumb	sub_0801480C
0x080148D4	0x080149D3	thumb	sub_080148D4
0x080149D4	0x08014A3F	thumb	sub_080149D4
0x08014A40	0x08014AEB	thumb	sub_08014A40
0x08014AEC	0x08014B97	thumb	sub_08014AEC
0x08014B98	0x08014C83	thumb	sub_08014B98
0x08014C84	0x08014CFB	thumb	sub_08014C84
0x08014CFC	0x08014D73	thumb	sub_08014CFC
0x08014D74	0x08014DEB	thumb	sub_08014D74
0x08014DEC	0x08014E03	thumb	sub_08014DEC
0x08014E04	0x08014E1B	thumb	sub_08014E04
0x08014E1C	0x08014EAF	thumb	sub_08014E1C
